Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS
googlke t,0,32,0.0000,5.5,google,7
googlle,0,4,0.0000,37.0,google,7
googlle shop,0,3,0.0000,7.7,google shop,7
googlle store,0,11,0.0000,9.4,google store,7
googlle t,0,273,0.0000,4.9,google,7
googlle wallet,0,1,0.0000,82.0,google wallet,7
googlo,0,8,0.0000,64.0,google,7
googlo store,0,3,0.0000,8.0,google store,7
googlo t,0,34,0.0000,4.9,google,7
googloe,0,1,0.0000,63.0,google,7
googloe store,0,1,0.0000,6.0,google store,7
googloe tr,0,41,0.0000,4.5,google tr,7
googlr,0,29,0.0000,34.0,google,7
googlr dtore,0,2,0.0000,38.0,google,7
googlr log in,0,1,0.0000,10.0,google log,7
googlr shop,0,96,0.0000,8.0,google shop,7
googlr sign in,0,1,0.0000,79.0,google sign,7
googlr store,0,28,0.0000,8.9,google store,7
googlr t,0,2129,0.0000,5.0,google,7
googlr usa,0,2,0.0000,79.0,google usa,7
googlr water,0,18,0.0000,7.4,google water,7
googlr yt,0,1,0.0000,9.0,google yt,7
googlr.ity,0,17,0.0000,4.7,google ity,7
googlr.t,0,72,0.0000,4.4,google,7
googlr',0,1,0.0000,5.0,google,7
googlre,0,2,0.0000,46.0,google,7
googlre sign in,0,1,0.0000,53.0,google sign,7
googlre store,0,1,0.0000,8.0,google store,7
googlre t,0,85,0.0000,4.5,google,7
googlre usa,0,1,0.0000,93.0,google usa,7
googlrstore,0,3,0.0000,8.0,google,7
googlryoutube,0,1,0.0000,9.0,google,7
googls,0,40,0.0000,88.0,google,7
googls store,0,4,0.0000,7.5,google store,7
googls t,0,7,0.0000,6.3,google,7
googlshop,0,2,0.0000,7.5,shop,4
googlstor,0,1,0.0000,11.0,google,7
googlstore,0,7,0.0000,8.0,google,7
googlt store,0,1,0.0000,5.0,google store,7
googlt t,0,271,0.0000,4.9,google,7
googlte t,0,22,0.0000,4.8,google,7
googltr,0,3,0.0000,6.7,google,7
googlw,0,7,0.0000,45.0,google,7
googlw log in,0,1,0.0000,10.0,google log,7
googlw store,0,18,0.0000,12.0,google store,7
googlw water,0,37,0.0000,6.4,google water,7
googlw.t,0,28,0.0000,5.2,google,7
googlwe,0,1,0.0000,3.0,google,7
googlwe store,0,5,0.0000,7.6,google store,7
googlwe t,0,65,0.0000,5.1,google,7
googly man,0,5,0.0000,9.4,google man,7
googly return,0,16,0.0000,8.6,google return,7
googly returns,0,3,0.0000,9.7,google returns,7
googly store,0,1,0.0000,10.0,google store,7
googly swag,0,118,0.0000,1.0,google swag,7
googlyotube,0,1,0.0000,7.0,google,7
googlyou tube,0,2,0.0000,18.0,google youtube,7
googlyoutub,0,1,0.0000,14.0,google,7
googlyoutube,0,17,0.0000,12.0,google,7
googlyoutubee,0,2,0.0000,8.5,google,7
googlz,0,1,0.0000,5.0,google,7
googlz t,0,99,0.0000,4.6,google,7
googlе,0,16,0.0000,13.0,google,7
googme t,0,54,0.0000,4.3,google,7
googo,0,2,0.0000,78.0,google,7
googoe t,0,60,0.0000,5.0,google,7
googol t,0,8,0.0000,4.4,google,7
googole,0,5,0.0000,55.0,google,7
googole store,0,2,0.0000,9.5,google store,7
googole t,0,172,0.0000,4.5,google,7
googole tr,0,111,0.0000,4.2,google tr,7
googolstore,0,1,0.0000,19.0,google,7
googolt,0,4,0.0000,6.8,google,7
googoo google,0,1,0.0000,37.0,google google,7
googpe store,0,2,0.0000,8.0,google store,7
googple store,0,1,0.0000,14.0,google store,7
googshop,0,4,0.0000,8.0,shop,4
googstore,0,6,0.0000,8.8,google,7
googwe,0,1,0.0000,55.0,google,7
googwww,0,2,0.0000,81.0,google,7
googyoutube,0,5,0.0000,9.0,google,7
googyoutubele,0,2,0.0000,5.5,google,7
goohle,0,1,0.0000,75.0,google,7
goohle shop,0,10,0.0000,6.9,google shop,7
goohle store,0,6,0.0000,11.0,google store,7
goohle t,0,109,0.0000,5.1,google,7
gooie,0,1,0.0000,61.0,non ascii symbols punctuations numbers,1
gooie backpack,0,19,0.0000,6.3,backpack,4
gooie bags,0,1,0.0000,21.0,bags,3
gookids,0,1,0.0000,7.0,non ascii symbols punctuations numbers,1
gool ball,0,7,0.0000,5.9,gool ball,4
gool coom,0,3,0.0000,88.0,gool,4
gool gear,0,1,0.0000,6.0,gool gear,4
gool google,0,3,0.0000,60.0,gool google,7
gool kids,0,1,0.0000,11.0,gool kids,4
gool login,0,2,0.0000,6.5,gool login,4
gool man,0,2,0.0000,8.0,gool man,4
gool store,0,3,0.0000,8.7,gool store,4
gool t,0,106,0.0000,4.8,gool,4
gool?trackid=sp-006,0,1,0.0000,15.0,gool track id sp,4
gool.go,0,4,0.0000,81.0,gool go,4
goolag shirt,0,1,0.0000,82.0,google shirt,7
goolag t shirt,0,3,0.0000,74.0,google shirt,7
goole,0,15,0.0000,5.3,google,7
goole android,0,1,0.0000,9.0,google android,7
goole for kids,0,5,0.0000,18.0,google kids,7
goole google,0,1,0.0000,87.0,google google,7
goole kids,0,9,0.0000,12.0,google kids,7
goole log,0,1,0.0000,36.0,google log,7
goole log in,0,1,0.0000,8.0,google log,7
goole mağaza,0,2,0.0000,8.5,google aza,7
goole office,0,6,0.0000,28.0,google office,7
goole sign in,0,8,0.0000,47.0,google sign,7
goole sing in,0,1,0.0000,59.0,google sing,7
goole store,0,115,0.0000,9.4,google store,7
goole t,0,3087,0.0000,4.8,google,7
goole tl,0,2,0.0000,3.5,google tl,7
goole us,0,1,0.0000,76.0,google us,7
goole water,0,126,0.0000,6.6,google water,7
goole www come,0,2,0.0000,84.0,google www come,7
goole you tube,0,1,0.0000,8.0,google youtube,7
goole youtube,0,8,0.0000,11.0,google youtube,7
goole zipper,0,7,0.0000,8.3,google zipper,7
goole.ru,0,1,0.0000,87.0,google ru,7
goole.t,0,35,0.0000,4.7,google,7
goole.usa,0,1,0.0000,63.0,google usa,7
goolebot,0,43,0.0000,57.0,google,7
goolekids,0,1,0.0000,9.0,google,7
goolestore,0,5,0.0000,9.8,google,7
gooleyoutube,0,1,0.0000,10.0,youtube,6
goolg,0,1,0.0000,54.0,google,7
goolg et,0,2,0.0000,5.0,google et,7
goolg etr,0,1,0.0000,2.0,google etr,7
goolg t,0,49,0.0000,5.6,google,7
goolge,0,5,0.0000,22.0,google,7
goolge log in,0,2,0.0000,5.5,google log,7
goolge phone,0,1,0.0000,57.0,google phone,7
goolge shop,0,62,0.0000,7.6,google shop,7
goolge store,0,42,0.0000,9.7,google store,7
goolge tr,0,56,0.0000,3.9,google tr,7
goolge tra,0,3,0.0000,6.7,google tra,7
goolge usa,0,1,0.0000,65.0,google usa,7
goolge wallet,0,1,0.0000,86.0,google wallet,7
goolge water,0,41,0.0000,6.6,google water,7
goolge youtube,0,2,0.0000,9.0,google youtube,7
goolgle,0,2,0.0000,65.0,google,7
goolgle shop,0,9,0.0000,8.6,google shop,7
goolgle store,0,9,0.0000,8.4,google store,7
goolgle t,0,152,0.0000,4.9,google,7
goolgle water,0,2,0.0000,5.5,google water,7
goolgr,0,1,0.0000,51.0,google,7
goolle,0,2,0.0000,67.0,google,7
gooogl,0,1,0.0000,65.0,google,7
gooogl t,0,30,0.0000,4.9,google,7
gooogle,0,14,0.0000,48.0,google,7
gooogle amp,0,1,0.0000,43.0,google amp,7
gooogle canada,0,1,0.0000,89.0,google canada,7
gooogle for kids,0,1,0.0000,10.0,google kids,7
gooogle google,0,1,0.0000,64.0,google google,7
gooogle kids,0,4,0.0000,14.0,google kids,7
gooogle sign in,0,2,0.0000,73.0,google sign,7
gooogle socs,0,1,0.0000,2.0,google socs,7
gooogle store,0,66,0.0000,9.4,google store,7
gooogle t,0,1467,0.0000,4.8,google,7
gooogle tl,0,2,0.0000,4.0,google tl,7
gooogle tra,0,4,0.0000,10.0,google tra,7
gooogle usa,0,1,0.0000,76.0,google usa,7
gooogle water,0,76,0.0000,6.7,google water,7
gooogle youtube,0,6,0.0000,8.5,google youtube,7
gooogle. om,0,1,0.0000,96.0,google om,7
gooogle.t,0,2,0.0000,3.0,google,7
gooogle',0,1,0.0000,3.0,google,7
gooogler,0,1,0.0000,3.0,google,7
goooglestore,0,1,0.0000,20.0,google,7
gooogleyoutube,0,2,0.0000,9.5,google,7
gooogloe,0,1,0.0000,52.0,google,7
gooohle,0,1,0.0000,61.0,google,7
gooole store,0,1,0.0000,10.0,google store,7
gooole t,0,62,0.0000,5.5,google,7
gooply store,0,6,0.0000,9.8,store,5
goosle store,0,2,0.0000,14.0,google store,7
goostore,0,3,0.0000,8.7,store,5
goovle sign in,0,1,0.0000,7.0,google sign,7
gopgle store,0,1,0.0000,5.0,google store,7
gopgle t,0,2,0.0000,4.5,google,7
gopher apparel,0,20,0.0000,59.0,gopher apparel,4
gopher cart,0,1,0.0000,93.0,gopher cart,4
gopher clothing,0,13,0.0000,72.0,gopher clothing,4
gopher hat,0,3,0.0000,77.0,gopher hat,4
gopher shirt,0,1,0.0000,91.0,gopher shirt,2
gopher sticker,0,1,0.0000,95.0,gopher sticker,4
gopher sweatshirts,0,1,0.0000,71.0,gopher shirt,2
gopher youtube,0,56,0.0000,63.0,gopher youtube,6
gopher youtuber,0,6,0.0000,40.0,gopher youtube,6
gopher.co.nz,0,2,0.0000,86.0,gopher co nz,4
gopog,0,1,0.0000,54.0,google,7
got bag rolltop rucksack,0,1,0.0000,70.0,got bag rolltop rucksack,3
gothic stores,0,1,0.0000,1.0,gothic store,5
gougel t,0,1,0.0000,4.0,non ascii symbols punctuations numbers,1
gougle,0,3,0.0000,36.0,google,7
gougle store,0,1,0.0000,9.0,google store,7
gougle t,0,83,0.0000,3.1,google,7
goyoutube,0,1,0.0000,21.0,youtube,6
gpogle store,0,2,0.0000,14.0,google store,7
gpogle t,0,56,0.0000,4.8,google,7
gpoog,0,1,0.0000,33.0,google,7
gpoogle sign in,0,1,0.0000,44.0,google sign,7
gppgle,0,1,0.0000,91.0,non ascii symbols punctuations numbers,1
gppgle sign in,0,1,0.0000,47.0,sign,4
gppgle store,0,5,0.0000,12.0,store,5
gppgle t,0,71,0.0000,4.9,non ascii symbols punctuations numbers,1
gppgöe-de,0,8,0.0000,9.1,e de,4
gratis merchandise,0,1,0.0000,7.0,gratis merchandise,4
gray canvas backpack,0,36,0.0000,74.0,gray canvas backpack,3
gray lines on google maps,0,1,0.0000,77.0,gray lines google maps,7
gray mens t shirt,0,3,0.0000,28.0,gray mens shirt,2
gray pride t shirt,0,1,0.0000,53.0,gray pride shirt,2
gray t shirt,0,31,0.0000,6.4,gray shirt,2
gray t shirt for men,0,1,0.0000,80.0,gray shirt men,2
gray t shirt mens,0,4,0.0000,73.0,gray shirt mens,2
gray t shirts,0,3,0.0000,55.0,gray shirt,2
gray t-shirt,0,3,0.0000,1.0,gray shirt,2
gray t-shirts,0,4,0.0000,83.0,gray shirt,2
gray tee shirts,0,1,0.0000,1.0,gray t-shirt shirt,2
gray tshirt,0,1,0.0000,9.0,gray shirt,2
gray zip hoodie,0,1,0.0000,98.0,gray zip hoodie,2
great atmosphere,0,1,0.0000,3.0,great atmosphere,4
great i am apparel,0,1,0.0000,29.0,great apparel,5
great mens t shirts,0,3,0.0000,63.0,great mens shirt,2
great shirts for guys,0,1,0.0000,50.0,great shirt guys,2
great souvenirs,0,1,0.0000,1.0,great souvenirs,4
great t shirts,0,104,0.0000,59.0,great shirt,2
great t shirts for men,0,8,0.0000,43.0,great shirt men,2
great t shirts for women,0,1,0.0000,49.0,great shirt women,2
great t-shirt,0,2,0.0000,37.0,great shirt,2
great t-shirts,0,7,0.0000,74.0,great shirt,2
great t-shirts for guys,0,1,0.0000,64.0,great shirt guys,2
great tee shirts,0,27,0.0000,59.0,great t-shirt shirt,2
great tees,0,1,0.0000,77.0,great t-shirt,4
great water bottles,0,7,0.0000,87.0,great water bottles,3
great white band youtube,0,2,0.0000,95.0,great white band youtube,6
great writing pens,0,1,0.0000,81.0,great writing pens,4
greek gifts,0,1,0.0000,6.0,greek gifts,4
greek sweatshirts,0,2,0.0000,91.0,greek shirt,2
green 13 apparel,0,1,0.0000,35.0,green apparel,2
green 16,0,1,0.0000,68.0,green,4
green android logo,0,1,0.0000,71.0,green android logo,2
green android robot,0,2,0.0000,59.0,green android robot,4
green baby onesie,0,12,0.0000,59.0,green baby onesie,2
green bottle glass,0,1,0.0000,41.0,green bottle glass,3
green bottles,0,1,0.0000,1.0,green bottles,3
green cable,0,1,0.0000,97.0,green cable,4
green childrens t shirt,0,1,0.0000,10.0,green childrens shirt,2
green coffee youtube,0,2,0.0000,78.0,green youtube,6
green color sunglasses,0,3,0.0000,78.0,green color sunglasses,2
green day merch,0,1,0.0000,89.0,green day merchandise,5
green day t shirts india,0,11,0.0000,66.0,green day shirt india,2
green day tee shirts,0,2,0.0000,84.0,green day t-shirt shirt,2
green desk organizer,0,22,0.0000,60.0,green desk organizer,2
green drinkware,0,3,0.0000,77.0,green drink ware,3
green fibre bottle,0,1,0.0000,120.0,green fibre bottle,3
green gel pen,0,1,0.0000,89.0,green gel pen,3
green glass bottle,0,5,0.0000,47.0,green glass bottle,3
green glass bottle water,0,3,0.0000,73.0,green glass bottle water,3
green glass water bottle,0,1,0.0000,75.0,green glass water bottle,3
green google,0,11,0.0000,38.0,green google,7
green kids shirt,0,2,0.0000,3.5,green kids shirt,2
green kids tshirts,0,11,0.0000,82.0,green kids shirt,2
green light pen,0,10,0.0000,11.0,green light pen,3
green merchandise,0,6,0.0000,80.0,green merchandise,5
green newborn onesie,0,1,0.0000,97.0,green newborn onesie,4
green office accessories,0,63,0.0000,52.0,green office accessories,5
green office light,0,3,0.0000,40.0,green office light,2
green onesie,0,162,0.0000,30.0,green onesie,4
green onesie baby,0,21,0.0000,33.0,green onesie baby,2
green onesie child,0,162,0.0000,47.0,green onesie child,4
green onsie,0,12,0.0000,42.0,green,4
green pen,0,17,0.0000,55.0,green pen,4
green pen light,0,3,0.0000,18.0,green pen light,3
green pen writing,0,1,0.0000,1.0,green pen writing,2
green robot android,0,1,0.0000,68.0,green robot android,4
green robot on android,0,1,0.0000,90.0,green robot android,4
green robot toy,0,19,0.0000,71.0,green robot toy,3
green shirt baby meme,0,1,0.0000,1.0,green shirt baby meme,2
green shirt for kids,0,1,0.0000,1.0,green shirt kids,2
green shirt kid,0,6,0.0000,1.5,green shirt kid,2
green street hooligans youtube,0,4,0.0000,91.0,green street hooligans youtube,6
green t shirt,0,3,0.0000,74.0,green shirt,2
green t shirt child,0,3,0.0000,66.0,green shirt child,2
green t shirt for kids,0,1,0.0000,60.0,green shirt kids,2
green t shirt for men,0,1,0.0000,66.0,green shirt men,2
green t shirt mens,0,3,0.0000,79.0,green shirt mens,2
green t shirt womens,0,2,0.0000,64.0,green shirt women,2
green t shirts for women,0,1,0.0000,85.0,green shirt women,2
green t shirts womens,0,8,0.0000,83.0,green shirt women,2
green t-shirt kids,0,1,0.0000,1.0,green shirt kids,2
green t-shirts men,0,1,0.0000,83.0,green shirt men,2
green tee,0,1,0.0000,99.0,green t-shirt,2
green thermal,0,5,0.0000,51.0,green thermal,4
green toddler shirt,0,5,0.0000,89.0,green toddler shirt,2
green tshirts for kids,0,4,0.0000,35.0,green shirt kids,2
green water bottle,0,1,0.0000,170.0,green water bottle,3
greenful tee,0,29,0.0000,52.0,t-shirt,4
greenrush youtube,0,2,0.0000,72.0,youtube,6
grex youtube,0,1,0.0000,39.0,grex youtube,6
grey 59 clothing,0,1,0.0000,7.0,grey clothing,2
grey 59 hoodie,0,6,0.0000,23.0,grey hoodie,2
grey 59 merch,0,20,0.0000,36.0,grey merchandise,4
grey and black hoodie,0,1,0.0000,81.0,grey black hoodie,2
grey and red t shirt,0,1,0.0000,36.0,grey red shirt,2
grey and white t shirt,0,2,0.0000,90.0,grey white shirt,2
grey apparel,0,15,0.0000,35.0,grey apparel,2
grey baby onesie,0,8,0.0000,68.0,grey baby onesie,4
grey beanie,0,71,0.0000,72.0,grey beanie,4
grey book bag,0,1,0.0000,24.0,grey book bag,3
grey bookbag,0,1,0.0000,94.0,grey bookbag,4
grey business shirt,0,1,0.0000,57.0,grey business shirt,2
grey canvas rucksack,0,1,0.0000,95.0,grey canvas rucksack,2
grey cotton shirts,0,1,0.0000,81.0,grey cotton shirt,2
grey cotton t shirt,0,1,0.0000,81.0,grey cotton shirt,2
grey cotton tri-blend tshirt,0,25,0.0000,84.0,grey cotton tri blend shirt,2
grey crew,0,4,0.0000,6.5,grey crew,4
grey crew neck sweater,0,3,0.0000,170.0,grey crew neck sweater,2
grey fabric backpack,0,1,0.0000,23.0,grey fabric backpack,2
grey gear,0,3,0.0000,78.0,grey gear,4
grey gel pen,0,1,0.0000,71.0,grey gel pen,2
grey gift bags,0,5,0.0000,84.0,grey gift bags,3
grey google,0,5,0.0000,12.0,grey google,7
grey google logo,0,2,0.0000,43.0,grey google logo,7
grey google pixel,0,4,0.0000,72.0,grey google pixel,7
grey hoodie,0,4,0.0000,180.0,grey hoodie,2
grey hoodie black jacket,0,1,0.0000,84.0,grey hoodie black jacket,2
grey hoodie men,0,1,0.0000,100.0,grey hoodie men,2
grey hoodie mens,0,1,0.0000,94.0,grey hoodie mens,2
grey hoodie mens outfit,0,1,0.0000,95.0,grey hoodie mens outfit,2
grey hoodie pullover,0,2,0.0000,94.0,grey hoodie pullover,2
grey hoodie zip up,0,9,0.0000,200.0,grey hoodie zip,2
grey jersey t shirt,0,3,0.0000,38.0,grey jersey shirt,2
grey journal,0,35,0.0000,31.0,grey journal,4
grey journals,0,6,0.0000,19.0,grey journals,4
grey jumper,0,3,0.0000,170.0,grey jumper,4
grey laptop backpack,0,4,0.0000,74.0,grey laptop backpack,3
grey laptop backpacks,0,12,0.0000,82.0,grey laptop backpacks,3
grey laptop bag,0,5,0.0000,54.0,grey laptop bag,3
grey laptops,0,1,0.0000,83.0,grey laptops,4
grey lines,0,1,0.0000,100.0,grey lines,4
grey men shirt,0,1,0.0000,95.0,grey men shirt,2
grey mens,0,1,0.0000,92.0,grey mens,4
grey mens t shirt,0,45,0.0000,47.0,grey mens shirt,2
grey mens t shirts,0,4,0.0000,8.5,grey mens shirt,2
grey mens t-shirts,0,2,0.0000,6.5,grey mens shirt,2
grey mens tshirt,0,2,0.0000,5.5,grey mens shirt,2
grey mesh backpack,0,3,0.0000,81.0,grey mesh backpack,3
grey newborn onesie,0,2,0.0000,53.0,grey newborn onesie,4
grey office accessories,0,1,0.0000,100.0,grey office accessories,5
grey onesie,0,181,0.0000,39.0,grey onesie,4
grey onesie baby,0,12,0.0000,43.0,grey onesie baby,4
grey onesie child,0,4,0.0000,58.0,grey onesie child,4
grey onesies,0,1,0.0000,70.0,grey onesies,4
grey onsie,0,1,0.0000,20.0,grey,4
grey outerwear,0,2,0.0000,90.0,grey outerwear,4
grey pen,0,4,0.0000,32.0,grey pen,4
grey printed t shirt,0,1,0.0000,29.0,grey printed shirt,2
grey pull over,0,3,0.0000,8.0,grey pull,4
grey pullover,0,159,0.0000,32.0,grey pullover,2
grey pullover hoodie,0,103,0.0000,55.0,grey pullover hoodie,2
grey pullover hoodie men,0,9,0.0000,82.0,grey pullover hoodie men,2
grey pullover hoodie men's,0,6,0.0000,88.0,grey pullover hoodie men,2
grey pullover mens,0,2,0.0000,64.0,grey pullover mens,2
grey pullover sweatshirt,0,12,0.0000,64.0,grey pullover shirt,2
grey shirt,0,2,0.0000,64.0,grey shirt,2
grey shirt black vest,0,2,0.0000,93.0,grey shirt black vest,2
grey shirt mens,0,8,0.0000,71.0,grey shirt mens,2
grey shirt womens,0,2,0.0000,98.0,grey shirt women,2
grey shirts,0,91,0.0000,47.0,grey shirt,2
grey shirts mens,0,3,0.0000,84.0,grey shirt mens,2
grey socks,0,5,0.0000,160.0,grey socks,2
grey sweatshirt,0,11,0.0000,85.0,grey shirt,2
grey sweatshirt mens,0,2,0.0000,84.0,grey shirt mens,2
grey t shirt,0,139,0.0000,57.0,grey shirt,2
grey t shirt design,0,2,0.0000,97.0,grey shirt design,2
grey t shirt men,0,4,0.0000,93.0,grey shirt men,2
grey t shirt mens,0,18,0.0000,70.0,grey shirt mens,2
grey t shirt model,0,1,0.0000,78.0,grey shirt model,2
grey t shirt women's,0,14,0.0000,69.0,grey shirt women,2
grey t shirt womens,0,28,0.0000,66.0,grey shirt women,2
grey t shirts,0,71,0.0000,40.0,grey shirt,2
grey t shirts for men,0,1,0.0000,91.0,grey shirt men,2
grey t shirts mens,0,4,0.0000,87.0,grey shirt mens,2
grey t-shirt,0,18,0.0000,22.0,grey shirt,2
grey t-shirts,0,15,0.0000,18.0,grey shirt,2
grey tee,0,71,0.0000,33.0,grey t-shirt,2
grey tee shirt,0,23,0.0000,72.0,grey t-shirt shirt,2
grey tee shirt womens,0,1,0.0000,99.0,grey t-shirt shirt women,2
grey tee shirts,0,13,0.0000,63.0,grey t-shirt shirt,2
grey tees,0,1,0.0000,45.0,grey t-shirt,2
grey teeshirt,0,1,0.0000,1.0,grey shirt,2
grey tgf hoodie,0,1,0.0000,10.0,grey tgf hoodie,4
grey tshirt,0,225,0.0000,6.1,grey shirt,2
grey tshirt womens,0,2,0.0000,87.0,grey shirt women,2
grey tshirts,0,23,0.0000,14.0,grey shirt,2
grey tube,0,1,0.0000,88.0,grey youtube,6
grey women's t shirt,0,1,0.0000,68.0,grey women shirt,2
grey womens shirt,0,5,0.0000,73.0,grey women shirt,2
grey womens t shirt,0,19,0.0000,57.0,grey women shirt,2
grey you tube,0,1,0.0000,9.0,grey youtube,6
grey youtube,0,17,0.0000,9.5,grey youtube,6
grey youtube icon,0,8,0.0000,18.0,grey youtube icon,6
grey youtube logo,0,6,0.0000,8.2,grey youtube logo,6
grey youtuber,0,1,0.0000,17.0,grey youtube,6
grey zip hoodie,0,2,0.0000,100.0,grey zip hoodie,2
grey zip up jacket,0,4,0.0000,57.0,grey zip jacket,2
grey zip up sweater,0,2,0.0000,61.0,grey zip sweater,2
grocery list car decal,0,1,0.0000,85.0,grocery list car decal,5
grosir kain kaos,0,1,0.0000,1.0,kain kaos,4
gsoc tshirt,0,20,0.0000,8.1,gsoc shirt,2
gstore android,0,2,0.0000,6.5,store android,5
gstore google,0,13,0.0000,4.5,store google,7
gt bicycles t shirt,0,3,0.0000,88.0,gt bicycles shirt,2
gt bikes t shirt,0,7,0.0000,72.0,gt bikes shirt,2
gt bmx shirt,0,9,0.0000,60.0,gt bmx shirt,2
gt bmx t shirt,0,1,0.0000,74.0,gt bmx shirt,2
gt shirt,0,11,0.0000,67.0,gt shirt,2
gt shirts,0,3,0.0000,43.0,gt shirt,2
gt t shirt,0,8,0.0000,53.0,gt shirt,2
gt t shirts,0,4,0.0000,35.0,gt shirt,2
gt tshirt,0,1,0.0000,52.0,gt shirt,2
gu-guru,0,1,0.0000,11.0,gu guru,4
gugal,0,9,0.0000,31.0,non ascii symbols punctuations numbers,1
guge,0,151,0.0000,5.8,guge,4
gugel,0,1,0.0000,37.0,non ascii symbols punctuations numbers,1
gugel mebs,0,9,0.0000,7.9,non ascii symbols punctuations numbers,1
guge商店,0,1,0.0000,11.0,guge,4
gugl t,0,4,0.0000,5.3,gugl,4
gugle,0,19,0.0000,32.0,non ascii symbols punctuations numbers,1
guglue,0,1,0.0000,5.0,non ascii symbols punctuations numbers,1
gugol,0,1,0.0000,63.0,non ascii symbols punctuations numbers,1
guide gear shirts,0,1,0.0000,79.0,guide gear shirt,2
guide shirts sale,0,1,0.0000,36.0,guide shirt sale,2
guide t shirt,0,1,0.0000,47.0,guide shirt,2
guides t shirt,0,1,0.0000,28.0,guides shirt,2
guitar buy,0,1,0.0000,1.0,guitar buy,4
guru fishing clothing,0,1,0.0000,91.0,guru fishing clothing,5
guy getting branded on chest,0,1,0.0000,80.0,guy getting branded chest,3
guys t-shirts edmonton,0,16,0.0000,49.0,guys shirt edmonton,2
guys with open shirts,0,1,0.0000,81.0,guys open shirt,2
gym bag with laptop sleeve,0,1,0.0000,58.0,gym bag laptop sleeve,3
gym book bag,0,5,0.0000,32.0,gym book bag,3
gym book bags,0,11,0.0000,64.0,gym book bags,3
gym drawstring bags,0,1,0.0000,82.0,gym drawstring bags,3
gym laptop bag,0,1,0.0000,90.0,gym laptop bag,3
gym pouch bag,0,4,0.0000,64.0,gym pouch bag,3
gym rucksack,0,1,0.0000,84.0,gym rucksack,4
gym sack bag,0,1,0.0000,70.0,gym sack bag,3
gym string bag,0,1,0.0000,95.0,gym string bag,3
gym tote bag,0,2,0.0000,110.0,gym tote bag,3
gym tote bags,0,4,0.0000,88.0,gym tote bags,3
gyou tube,0,1,0.0000,20.0,youtube,6
gyoutbue,0,1,0.0000,35.0,youtube,6
gyoutu,0,1,0.0000,29.0,youtube,6
gyoutube,0,13,0.0000,26.0,youtube,6
gyouutbe,0,1,0.0000,32.0,youtube,6
g谷歌商店,0,1,0.0000,6.0,g,4
h e b,0,1,0.0000,3.0,h e b,7
h2go force water bottle,0,6,0.0000,71.0,hgo force water bottle,3
h2go glass water bottle,0,2,0.0000,66.0,hgo glass water bottle,3
h2go water bottle,0,11,0.0000,88.0,hgo water bottle,3
h2go water bottle replacement lid,0,1,0.0000,78.0,hgo water bottle replacement lid,3
h2go water bottles,0,26,0.0000,66.0,hgo water bottles,3
haat clothing,0,2,0.0000,86.0,haat clothing,4
hackets,0,1,0.0000,10.0,non ascii symbols punctuations numbers,1
hacky sack store,0,3,0.0000,73.0,hacky sack store,4
hacky sack youtube,0,4,0.0000,73.0,hacky sack youtube,6
haedgear,0,1,0.0000,7.0,non ascii symbols punctuations numbers,1
handbag companies,0,1,0.0000,13.0,handbag companies,5
hanes men's t shirts,0,1,0.0000,83.0,hanes men shirt,2
hanes tee shirts walmart,0,1,0.0000,68.0,hanes t-shirt shirt walmart,2
hanging a woman favorites youtube,0,27,0.0000,10.0,hanging woman favorites youtube,6
hanging hardware,0,1,0.0000,8.0,hanging hardware,4
happy,0,2,0.0000,250.0,happy,4
happy and you,0,2,0.0000,160.0,happy,4
happy car decal,0,30,0.0000,31.0,happy car decal,3
happy days clothing store,0,2,0.0000,96.0,happy days clothing store,5
happy decal,0,13,0.0000,11.0,happy decal,4
happy decal reviews,0,1,0.0000,48.0,happy decal reviews,4
happy friday stickers,0,1,0.0000,81.0,happy friday stickers,2
happy happy mood,0,1,0.0000,3.0,happy happy mood,4
happy mail stickers,0,1,0.0000,99.0,happy mail stickers,3
happy merchandise,0,10,0.0000,43.0,happy merchandise,5
happy mmod,0,2,0.0000,1.0,happy,4
happy mod,0,4,0.0000,100.0,happy mod,4
happy modd,0,1,0.0000,6.0,happy,4
happy mode,0,2,0.0000,93.0,happy mode,4
happy monday stickers,0,1,0.0000,20.0,happy monday stickers,2
happy mood,0,208,0.0000,18.0,happy mood,4
happy mood on,0,4,0.0000,1.0,happy mood,4
happy mood stickers,0,2,0.0000,7.5,happy mood stickers,2
happy stickers,0,19,0.0000,25.0,happy stickers,4
happy store,0,1,0.0000,80.0,happy store,5
happy window,0,3,0.0000,21.0,happy window,4
happy! merchandise,0,2,0.0000,56.0,happy merchandise,5
hapy mood,0,1,0.0000,5.0,mood,4
hard cover diary,0,2,0.0000,71.0,hard cover diary,3
hard cover journal,0,36,0.0000,65.0,hard cover journal,4
hard cover journals,0,1,0.0000,61.0,hard cover journals,4
hard cover notebook,0,36,0.0000,72.0,hard cover notebook,3
hard cover notebooks,0,124,0.0000,77.0,hard cover notebooks,3
hard cover notepad,0,1,0.0000,50.0,hard cover notepad,3
hard notebook,0,1,0.0000,97.0,hard notebook,4
hardcover journal,0,59,0.0000,59.0,hardcover journal,4
hardcover journal book,0,15,0.0000,64.0,hardcover journal book,5
hardcover journal notebook,0,10,0.0000,22.0,hardcover journal notebook,4
